CategoryKey,ServiceKey,Price
pmu,powder_brows,€200
pmu,powder_brows_aftercare,€50
pmu,powder_brows_touchup_1y,€120
pmu,powder_brows_touchup_1_2y,€150
pmu,powder_brows_touchup_2_3y,€180
pmu,lips,€200
pmu,lips_aftercare,€50
pmu,lips_touchup_1y,€120
pmu,lips_touchup_1_2y,€150
pmu,lips_touchup_2_3y,€180
pmu,eyeliner,€200
pmu,eyeliner_aftercare,€50
pmu,eyeliner_touchup_1y,€120
pmu,eyeliner_touchup_1_2y,€150
pmu,eyeliner_touchup_2_3y,€180
pmu,deepliner,€100
pmu,deepliner_aftercare,€50
pmu,deepliner_touchup_1y,€70
pmu,deepliner_touchup_1_2y,€80
pmu,deepliner_touchup_2_3y,€90
pmu,deepliner_both,€150
lashes,one_by_one,€80
lashes,one_by_one_refill,€50
lashes,light_volume,€80
lashes,light_volume_refill,€50
lashes,russe_volume,€90
lashes,russe_volume_refill,€60
lashes,mega_volume,€100
lashes,mega_volume_refill,€65
lashes,removal,€25
brows,lash_lift,€50
brows,lash_lift_tint,€55
brows,brow_lamination,€45
brows,brow_lamination_wax_tint,€55
brows,brow_wax,€15
brows,brow_wax_tint,€30
nails,gel_extension,€70
nails,gel_refill,€60
nails,gel_biab,€60
nails,gel_polish,€50
nails,gel_removal,€15
nails,gel_removal_manicure,€25
kobido,massage,€70
